Sheet,Cell,Cell Data,Time-Stamp,Comment
Feb,B35,Arnold Press - Dumbell,5:06PM Feb 19,"12kg DBs, inc from 10kg, difficult but managed 8 reps for first set"
Feb,B36,Lateral Shoulder Press - Machine,5:23PM Feb 19,Potentially strained rear delt (?) don
Feb,B34,Face Pull - Cable,5:27PM Feb 19,Go up to 15kg next time
Feb,B34,Face Pull - Cable,5:26PM Feb 19,Working weight 12.5kg
Feb,C34,Bench Press - Flat - Barbell,5:09PM Feb 20,Peak 55kg 2x4
Feb,C39,Squat - Back - Barbell,5:23PM Feb 20,Working weight 62.5kg
Feb,C33,Bench Press - Lateral - Machine,5:35PM Feb 20,Peak 45kg
Feb,C38,Squat - Front - Barbell,5:45PM Feb 20,Working weight 42.5kg
Feb,C35,Curls - Simple - Barbell,5:52PM Feb 20,Working weight 20kg (inc 7.5kg cambered bar)
Feb,C32,Bench Press - Incline - Dumbell,6:01PM Feb 20,"Non hammer friendly bench, 4 notches from the top. 16kg DBs, tough, first set 8 reps"
Feb,C36,Hammer Hold - Dumbell,6:18PM Feb 20,"12kg DBs, aiming for sets of 40s"
Feb,C37,Good Mornings - Barbell,6:46PM Feb 20,Working weight 50kg
Feb,E32,Straight Arm Pushdown - Cable,5:51PM Feb 22,Increase next time
Feb,E32,Straight Arm Pushdown - Cable,5:45PM Feb 22,Working weight 21.25kg
Feb,E36,Arnold Press - Dumbell,5:59PM Feb 22,12kg DBs managing reps of 8-10
Feb,E33,Face Pull - Cable,6:06PM Feb 22,Working weight 18.75kg
Feb,E37,Lateral Raise - Standing - Dumbell,6:22PM Feb 22,2 sets at 7.5kg DBs
Feb,E37,Lateral Raise - Standing - Dumbell,6:15PM Feb 22,"More sets than standard, high raises 5kg DBs. Up the weight next time"
Feb,E37,Lateral Raise - Standing - Dumbell,1:02PM Feb 20,"Torture the side delt, lots of sets to failure"
Feb,E34,Bent-Over Rows - Barbell,6:35PM Feb 22,Working sets of 55kg
Feb,E35,Shrugs - Dumbell,6:50PM Feb 22,"Peak barbell weight 70kg, hardest part is grip. Use as working sets next time"
Feb,E39,Crunches - Weighted - Cable,6:53PM Feb 22,25kg
Feb,F33,Bench Press - Flat - Dumbell,5:42PM Feb 23,New PB 20kg DBs 10 in first set
Feb,F37,Tricep Kick-Backs - Dumbell,5:59PM Feb 23,Standing bent over with 8kg DBs sets of 8
Feb,F32,Bench Press - Decline - Barbell,6:19PM Feb 23,Working weight 55kg
Feb,F38,Curls - Simple - Barbell,6:24PM Feb 23,(7.5kg cambered bar included)
Feb,F38,Curls - Simple - Barbell,6:24PM Feb 23,22.5kg PB for sets of 8
Feb,F36,Tricep Extension Pulldown - Cable,6:38PM Feb 23,Tough working sets of 26.25kg
Feb,F34,Pectoral Flys - Cable,6:51PM Feb 23,New working weight pb 47kg
Feb,F39,Curls - Hammer - Dumbell,6:54PM Feb 23,Half reps on the curling bench trying to avoid that forarm strain. 10kg DBs
Feb,F35,Dips - Body,7:03PM Feb 23,Sets of 12
Feb,B22,12 - Weight: 79kg,7:06PM Feb 23,Creatine arrived around here
Feb,B22,12 - Weight: 79kg,9:55AM Feb 13,Always take the floor
Exercises,E62,Lateral Raise - Standing,1:25PM Feb 24,"Lean forward slightly, elbows slightly bent (Side Lateral Raise - Athlean)"
Feb,B2,February,7:42PM Feb 25,Aim to be 87kg by end of Dec
Feb,C42,Bench Press - Lateral - Machine,6:06PM Feb 27,Working weight 45kg
Feb,C44,Tricep Extension Pulldown - Cable,6:15PM Feb 27,Working weight 23.75kg (dropped)
Feb,C44,Tricep Extension Pulldown - Cable,6:09PM Feb 27,"Tried underhand, not great for the wrists"
Feb,C44,Tricep Extension Pulldown - Cable,10:12AM Feb 24,This should be done with an underhand grip
Feb,C47,Curls - Simple - Barbell,6:31PM Feb 27,22.5kg aiming for sets of 10
Feb,C43,Bench Press - Decline - Barbell,6:41PM Feb 27,Working weight 55kg
Feb,C46,Incline DB Power Bomb - Dumbell,6:56PM Feb 27,Fucking hard. Especially to put down
Feb,C46,Incline DB Power Bomb - Dumbell,6:55PM Feb 27,Upgraded to 15kg DB
Feb,C46,Incline DB Power Bomb - Dumbell,6:49PM Feb 27,Getting used to the motion 12.5kg DB
Feb,C46,Incline DB Power Bomb - Dumbell,10:16AM Feb 24,Bring the elbows close together
Feb,C48,Curls - Hammer - Dumbell,7:04PM Feb 27,Peak 12.5kg DB for 8 reps
Feb,C41,Bench Press - Incline - Dumbell,7:12PM Feb 27,Probably from bad tech on the power bombs
Feb,C41,Bench Press - Incline - Dumbell,7:11PM Feb 27,16kg DBs 1 notch from the bottom on non curl friendly bench. Feel like I can manage more but got a twinge in my right elbow
Feb,C45,Tricep Kick-Backs - Dumbell,7:19PM Feb 27,"Knelt on the bench with 7.5kg DB, much harder when pinning the arm behind my back"
Feb,C45,Tricep Kick-Backs - Dumbell,10:14AM Feb 24,Get the elbows behind the back
Mar,E11,Squat - Front - Barbell,7:25PM Mar 1,Working weight 50kg
Mar,E12,Good Mornings - Barbell,7:32PM Mar 1,Peak 55kg
Mar,E9,Bent-Over Rows - Barbell,7:46PM Mar 1,Working weight 55kg
Mar,E6,Lateral Raise - Bent Over - Dumbell,8:00PM Mar 1,Hammer curl friendly bench one notch from bottom 7.5kg DBs
Mar,E10,Squat - Back - Barbell,8:22PM Mar 1,Working weight 67.5kg
Mar,E8,Lateral Pull Down - Machine,8:34PM Mar 1,Working sets of 90kg
Mar,E7,Seated Pulley Row - V-Grip - Cable,8:40PM Mar 1,Peak 15
Mar,E7,Seated Pulley Row - V-Grip - Cable,8:36PM Mar 1,"Similar to BO row, only use one next time"
Mar,G6,Bench Press - Decline - Barbell,7:15PM Mar 3,New working weight pb 60kg
Mar,G9,Tricep Extension Pulldown - Cable,7:24PM Mar 3,Dropped to 24.5kg sets to failure to focus on form
Mar,G5,Bench Press - Incline - Dumbell,7:38PM Mar 3,Increased again to v v difficult working sets of 20kg DBs
Mar,G5,Bench Press - Incline - Dumbell,7:35PM Mar 3,New working PB 18kg DBs
Mar,G10,Overhead Tricep Extension - One Arm - Dumbell,8:00PM Mar 3,"New one, just trying to get the technique down. Tough sets with 8kg DB"
Mar,G11,Lateral Raise - Standing - Dumbell,8:25PM Mar 3,"Confirmed, individual drop sets work better, just go to failure and then go to the next weight straight away"
Mar,G11,Lateral Raise - Standing - Dumbell,8:19PM Mar 3,Maybe do multiple drop sets? Seemed to work without having rest between the weight drops
Mar,G11,Lateral Raise - Standing - Dumbell,8:19PM Mar 3,"Need to figure out the drop sets started too low, did loads of sets of the 8s"
Mar,G11,Lateral Raise - Standing - Dumbell,8:13PM Mar 3,Start with 10kg DBs next time
Mar,G11,Lateral Raise - Standing - Dumbell,8:12PM Mar 3,"Drop sets starting at 8kg, as soon as I can"
Mar,G7,Pectoral Flys - Cable,8:36PM Mar 3,Attempting drop sets on the final set
Mar,G7,Pectoral Flys - Cable,8:36PM Mar 3,New working weight 49.5kg
Mar,G12,Shrugs - Dumbell,8:53PM Mar 3,Working weight 70kg
Mar,G8,Bench Press - Narrow Grip - Barbell,9:11PM Mar 3,Working weight 50kg (tough)
Mar,H5,Straight Arm Pushdown - Cable,4:19PM Mar 4,New working weight 23.75kg
Mar,H6,Face Pull - Cable,4:33PM Mar 4,New working weight 21kg
Mar,H9,Curls - Hammer - Dumbell,4:36PM Mar 4,New working weight 12kg DBs
Mar,H7,Lateral Pull Down - Machine,4:55PM Mar 4,Working weight 90kg
Mar,H11,Leg Raises - Bent Leg - Body,5:04PM Mar 4,1 set 
Mar,H11,Leg Raises - Bent Leg - Body,5:01PM Mar 4,Shoulders hurt trying to hang and not swing. Taken a set out to just practice hanging
Mar,H11,Leg Raises - Bent Leg - Body,4:59PM Mar 4,Hanging
Mar,H10,Curls - Simple - Barbell,5:10PM Mar 4,Working weight 22.5kg (5
Mar,H8,Low Pulley Row - Overhand - Cable,5:29PM Mar 4,Working weight 15
Mar,H12,Crunches - Weighted - Cable,5:39PM Mar 4,New working weight 30kg
Mar,C14,Overhead Tricep Extension - One Arm - Dumbell,7:25PM Mar 6,8kg DB working sets (tough)
Mar,C18,Lateral Shoulder Press - Machine,7:39PM Mar 6,"Working weight 40kg. Always feel prone to injury doing this, replace next time"
Mar,C16,Tricep Extension Pulldown - Cable,7:47PM Mar 6,Very very tough working sets of 28kg
Mar,C19,Front Raises - Dumbell,7:58PM Mar 6,"One arm at a time, careful not to push it too hard, feeling a potential strain, particularly in the left shoulder"
Mar,C19,Front Raises - Dumbell,7:51PM Mar 6,Very tough working sets with 10kg DBs
Mar,C17,Dips - Body,8:10PM Mar 6,5 reps final set
Mar,C17,Dips - Body,8:08PM Mar 6,4 reps third set
Mar,C17,Dips - Body,8:05PM Mar 6,"Difficult to stay upright, 4 reps second set"
Mar,C17,Dips - Body,8:04PM Mar 6,First done from resting on core machine. 5 halfish reps first set
Mar,C20,Hip Huggers - Dumbell,8:17PM Mar 6,Sets of 8
Mar,C20,Hip Huggers - Dumbell,8:13PM Mar 6,Working weight 20kg DBs
Mar,C15,Bench Press - Narrow Grip - Barbell,8:34PM Mar 6,Working weight 50kg
Mar,C21,Shrugs - Dumbell,9:49PM Mar 6,Working weight 70kg up next time
Mar,E16,Squat - Front - Barbell,1:40PM Mar 8,New peak 55kg
Mar,E15,Romanian Deadlifts - Barbell,2:03PM Mar 8,"Working weight 60kg, squeeze the orange"
Mar,E19,Curls - Hammer - Dumbell,2:11PM Mar 8,8 for the last couple
Mar,E19,Curls - Hammer - Dumbell,2:05PM Mar 8,12kg DB Sets of 10
Mar,E14,Hack Squat - Machine,2:29PM Mar 8,50kg working weight
Mar,E17,Squat - Back - Barbell,2:56PM Mar 8,Working weight 70kg inc next time
Mar,E21,Crunches - Weighted - Cable,3:03PM Mar 8,Working weight 30kg
Mar,E18,Curls - Simple - Barbell,3:14PM Mar 8,(New pb)
Mar,E18,Curls - Simple - Barbell,3:07PM Mar 8,"25kg 5, 2.5, 1.25 for 10 reps"
Mar,E5,Lateral Raise - Standing - Dumbell,8:36AM Mar 9,Try and keep elbows high to engage traps next time
Mar,E5,Lateral Raise - Standing - Dumbell,7:56PM Mar 1,7.5kg DBs
Mar,F17,Bench Press - Incline - Dumbell,5:56PM Mar 9,Working weight 20kg DBs 4 notches from the top on the non hammer friendly bench
Mar,F19,Face Pull - Cable,6:18PM Mar 9,"Working weight 21, 24.5 too heavy for good form"
Mar,F15,Bench Press - Flat - Barbell,6:41PM Mar 9,Working weight 55kg
Mar,F21,Lateral Pull Down - Machine,7:09PM Mar 9,Working weight 90kg
Mar,F18,Bent-Over Rows - Barbell,7:34PM Mar 9,New working weight 60kg
Mar,F20,Straight Arm Pushdown - Cable,8:37AM Mar 10,Working weight 23.75kg
Mar,F14,Pectoral Flys - Cable,11:25AM Mar 10,drop set on final set
Mar,F14,Pectoral Flys - Cable,7:58PM Mar 9,Working weight 49.5kg
Mar,H18,Hip Huggers - Dumbell,4:55PM Mar 11,Working weight shopping bags
Mar,H17,Bench Press - Narrow Grip - Barbell,5:08PM Mar 11,Working weight 50kg (tough)
Mar,H21,Abduction Row - Dumbell,5:18PM Mar 11,Working weight 26kg DB
Mar,H15,Overhead Tricep Extension - One Arm - Dumbell,5:24PM Mar 11,Working weight 8kg DB
Mar,H19,Lateral Raise - Standing - Dumbell,5:35PM Mar 11,"Managing 10 reps, consider increasing but don"
Mar,H19,Lateral Raise - Standing - Dumbell,5:30PM Mar 11,Working weight 10kg DBs
Mar,H16,Tricep Extension Pulldown - Cable,5:40PM Mar 11,Reduced to 26.25kg for form
Mar,H20,Front Raises - Dumbell,5:42PM Mar 11,10kg DB one arm at a time
Mar,C24,Squat - Front - Barbell,7:25PM Mar 13,Correction - new working weight 57.5kg
Mar,C24,Squat - Front - Barbell,7:22PM Mar 13,New peak 57.5kg
Mar,C26,Romanian Deadlifts - Barbell,7:39PM Mar 13,New peak 70kg worried a bit about form
Mar,C23,Squat - Back - Barbell,7:58PM Mar 13,New working weight 75kg
Mar,C27,Curls - Overhand - Barbell,8:11PM Mar 13,Mingin 15kg working sets
Mar,C28,Curls - Hammer - Dumbell,8:24PM Mar 13,Working sets of 8 using 12kg DB
Mar,C30,Crunches - Weighted - Cable,8:55PM Mar 13,Working weight 30kg
Mar,C29,Corkscrew - Resting - Body,8:56PM Mar 13,Sets of 12 working weight 3 bags on each ankle
Mar,D24,Bench Press - Flat - Dumbell,6:53PM Mar 14,"Working weight 22kg DBs, though to get them set up"
Mar,D27,Seated Pulley Row - V-Grip - Cable,7:15PM Mar 14,"Working weight 15, inc next time"
Mar,F16,Bench Press - Decline - Barbell,7:16PM Mar 14,Eh?
Mar,F16,Bench Press - Decline - Barbell,7:08PM Mar 9,Working weight 20kg
Mar,D26,Bench Press - Decline - Barbell,7:31PM Mar 14,Working weight 60kg (tough)
Mar,D29,Face Pull - Cable,7:38PM Mar 14,Working weight 21.25kg
Mar,D25,Bench Press - Incline - Dumbell,7:48PM Mar 14,Really tough working sets of 20kg DBs
Mar,D25,Bench Press - Incline - Dumbell,7:44PM Mar 14,Hammer friendly bench 1 notch up is slightly shallower than the 4 on the other.
Mar,D30,Lateral Pull Down - Machine,8:06PM Mar 14,Working weight 90kg inc next time
Mar,D23,Pectoral Flys - Cable,8:35PM Mar 14,Working weight 49.5kg
Mar,D23,Pectoral Flys - Cable,8:12PM Mar 14,Feeling something a bit twitchy in my left shoulder and right lat. I think I fucked them slightly on the flat DB bench press
Mar,D28,Low Pulley Row - Overhand - Cable,8:35PM Mar 14,Working weight 16
Mar,E28,Hip Huggers - Dumbell,6:04PM Mar 15,Working weight 20kg DBs
Mar,E24,Overhead Tricep Extension - One Arm - Dumbell,6:20PM Mar 15,"New peak 10kg DB, big struggle to get the 5th and 6th with left arm"
Mar,E29,Shoulder Press - Dumbell,6:24PM Mar 15,Working weight 14kg DBs
Mar,E27,Abduction Row - Dumbell,6:48PM Mar 15,New very tough working sets with 28kg DB
Mar,E25,Tricep Kick-Backs - Dumbell,7:14PM Mar 15,"Working sets of 8kg DB , easy on right, tough on left"
Mar,E30,Front Raises - Dumbell,7:32PM Mar 15,Working weight 10kg DB one arm at a time
Mar,E23,Tricep Extension Pulldown - Cable,7:33PM Mar 15,Working weight 26.25kg
Mar,E26,Dips - Body,10:30AM Mar 16,Body weight bench dips
Mar,G24,Squat - Front - Barbell,5:38PM Mar 17,New peak weight 60kg
Mar,G26,Good Mornings - Barbell,5:49PM Mar 17,New peak 65kg
Mar,G28,Curls - Hammer - Dumbell,6:01PM Mar 17,Working sets with 12kg DB
Mar,G23,Squat - Back - Barbell,6:31PM Mar 17,Working sets of 75kg
Mar,G27,Curls - Simple - Barbell,6:40PM Mar 17,"Working weight 25kg (5,2.5,1.25 each side)"
Mar,G29,Leg Raises - Straight Leg Resting - Body,6:59PM Mar 17,Body weigh in between weighted crunches
Mar,G30,Crunches - Weighted - Cable,7:00PM Mar 17,Working weight 30kg. Fucking miserable
Mar,G25,Leg Press - Machine,7:08PM Mar 17,"Manageable working sets of 90kg, inc next time"
Mar,B32,Bench Press - Flat - Dumbell,4:23PM Mar 19,Working weight 20kg (45lb) down from 22kg due to lack of matching weight
Mar,B36,Lateral Pull Down - Cable,4:37PM Mar 19,Peak at Barbadian 13 (lifefitness)
Mar,B33,Bench Press - Incline - Dumbell,4:47PM Mar 19,Working weight 20kg DBs
Mar,B37,Straight Arm Pushdown - Cable,4:56PM Mar 19,Weird sets on an incompatible machine. Triceps are burning more than back
Mar,B34,Pectoral Flys - Dumbell,5:04PM Mar 19,"11kg DB peak, felt a strain in my shoulder so didn"
Mar,B38,Low Pulley Row - Underhand - Cable,5:12PM Mar 19,Peak Barbadian 13
Mar,B35,Upper Chest Pullover - Dumbell,5:27PM Mar 19,Working weight 13.6kg DB
Mar,B35,Upper Chest Pullover - Dumbell,5:17PM Mar 19,"Like this, keep it in"
Mar,B39,Bent-Over Rows - Barbell,5:36PM Mar 19,Working weight 22.5kg DBs
Mar,C33,Overhead Tricep Extension - One Arm - Dumbell,11:58AM Mar 20,Working weight 6.8kg
Mar,C34,Tricep Kick-Backs - Dumbell,12:02PM Mar 20,"Working weight 6.8kg, felt a good weight to get good form with more reps"
Mar,C39,Shoulder Press - Dumbell,12:15PM Mar 20,Working weight 13.6kg DBs
Mar,C32,Tricep Extension Pulldown - Cable,12:27PM Mar 20,Working weight 5 Barbadian lat machine
Mar,C37,Front Raises - Dumbell,12:29PM Mar 20,Working weight 9kg
Mar,C36,Lateral Raise - Standing - Dumbell,12:54PM Mar 20,Working weight 9kg
Mar,C38,Hip Huggers - Dumbell,12:55PM Mar 20,Working weight 18.1kg DBs
Exercises,E20,Seated Pulley Row - V-Grip,10:18PM Mar 21,Try using wide v grip
Mar,F33,Crunches - Weighted - Cable,6:09PM Mar 23,Working weight 32.5kg
Mar,F38,Curls - Overhand - Barbell,6:37PM Mar 23,Working weight 17.5kg
Mar,F36,Curls - Simple - Barbell,6:46PM Mar 23,Working weight 25kg
Mar,F39,Wrist Flexion - Cable,7:05PM Mar 23,Peak 8.75kg
Mar,F39,Wrist Flexion - Cable,6:59PM Mar 23,Working weight 6.25kg
Mar,F37,Curls - Hammer - Dumbell,7:15PM Mar 23,Working weight 12kg DB
Mar,G33,Squat - Front - Barbell,7:00PM Mar 24,New peak 65kg
Mar,G32,Squat - Back - Barbell,7:21PM Mar 24,New peak 85kg
Mar,G32,Squat - Back - Barbell,7:18PM Mar 24,New working weight 80kg (10 reps first set)
Mar,G34,Deadlift - Barbell,7:44PM Mar 24,Working weight 80kg
Mar,G38,Calf Raises - Bent Leg - Machine,8:14PM Mar 24,Increase and do sets of 10
Mar,G38,Calf Raises - Bent Leg - Machine,8:00PM Mar 24,Working weight 15kg sets of 15
Mar,G39,Calf Raises - Straight Leg - Machine,8:18PM Mar 24,Working weight 60kg
Mar,C25,Hack Squat - Machine,8:46PM Mar 13,Working weight 40kg
Mar,G35,Hack Squat - Machine,8:29PM Mar 24,New working weight 50kg
Mar,G36,Oblique Lunges - Plate,8:46PM Mar 24,Working sets 0kg up and back in cross fit area
Mar,G37,Plank - Body,9:15PM Mar 24,1 minute
Mar,B43,Bench Press - Flat - Barbell,1:58PM Mar 26,"Went for working weight 60kg, set 1 failed - 4 reps"
Mar,B45,Face Pull - Cable,2:16PM Mar 26,"Working weight 21.25kg, final set 12 reps"
Mar,B42,Pectoral Flys - Cable,2:41PM Mar 26,Working weight 49.5kg. Could go up but getting a good stretch and push with sets of 8 at this weight
Mar,B47,Seated Pulley Row - V-Grip - Cable,2:54PM Mar 26,New working weight 16
Mar,B44,Bench Press - Decline - Barbell,3:09PM Mar 26,8 reps of 60 first working set
Mar,B44,Bench Press - Decline - Barbell,3:04PM Mar 26,12 reps at 50kg! Working weight 60kg
Mar,B41,Upper Chest Pullover - Dumbell,3:28PM Mar 26,Peak weight 16kg DB
Mar,B48,Low Pulley Row - Overhand - Cable,3:35PM Mar 26,New working weight 17
Mar,C43,Bench Press - Narrow Grip - Barbell,5:48PM Mar 27,Working weight 50kg
Mar,C45,Shoulder Press - Dumbell,5:57PM Mar 27,New working weight 15kg DBs
Mar,C42,Rear Extension - V-Bar - Cable,6:10PM Mar 27,Working weight 18.75kg
Mar,C41,Overhead Tricep Extension - One Arm - Dumbell,6:19PM Mar 27,Note this could be due to trying new 
Mar,C41,Overhead Tricep Extension - One Arm - Dumbell,6:19PM Mar 27,Reduced working weight back to 8kg DB
Mar,C44,Tricep Extension Pulldown - Cable,6:29PM Mar 27,Working weight 26.25kg usually. Trapped a nerve at 23.75kg
Mar,C48,Hip Huggers - Dumbell,6:31PM Mar 27,Working weight 20kg DBs
Mar,C47,Front Raises - Dumbell,6:43PM Mar 27,Working weight 10kg DB
Mar,C46,Lateral Raise - Standing - Dumbell,6:50PM Mar 27,"Working weight 10kg, got to really stretch out those shoulders. Nerves feeling twitchy"
Mar,D41,Crunches - Weighted - Cable,6:25PM Mar 28,Working weight 40kg
Mar,D42,Corkscrew - Resting - Body,6:32PM Mar 28,3 weights on each ankle
Mar,D43,Leg Raises - Straight Leg Resting - Body,6:39PM Mar 28,3 sets 3 weights on each ankle. Same number of sets for cork
Mar,D47,Curls - Overhand - Barbell,6:53PM Mar 28,8 is the new 
Mar,D47,Curls - Overhand - Barbell,6:54PM Mar 28,Working weight 17.5kg
Mar,D48,Wrist Flexion - Cable,7:04PM Mar 28,Working weight 8.75kg
Mar,D46,Curls - Cable,7:12PM Mar 28,Very tough peak of 23.75kg
Mar,D45,Curls - Hammer - Dumbell,7:16PM Mar 28,Sets of 10 with new working weight 12.5kg DB
Mar,D44,Plank - Body,7:27PM Mar 28,
Mar,G42,Squat - Front - Barbell,10:33AM Mar 29,"Starting torture training. One muscle group at a time, shorter rest"
Mar,G42,Squat - Front - Barbell,6:54PM Mar 31,"8 for final set, make sure to get 8 for both next time"
Mar,G42,Squat - Front - Barbell,6:50PM Mar 31,Working weight 65kg (6 reps)
Mar,G41,Squat - Back - Barbell,7:18PM Mar 31,Working weight 85kg
Mar,G45,Good Mornings - Barbell,7:38PM Mar 31,Working weight 70kg
Mar,G43,Deadlift - Barbell,8:04PM Mar 31,"Working weight 90kg, be very careful of form"
Mar,G43,Deadlift - Barbell,8:00PM Mar 31,Push inside of feet to ground self. Squeeze the egg. Raise the bar slightly. Push knees out like holding a box
Mar,G47,Calf Raises - Bent Leg - Machine,8:15PM Mar 31,Working weight 20kg
Mar,G48,Calf Raises - Straight Leg - Machine,8:31PM Mar 31,Working weight 70kg
