Sheet,Cell,Cell Data,Time-Stamp,Comment,Date
May,F16,Leg Curls - Cable,"May 11, 2023",Squeeze those cheeks!,2023-05-11
May,F17,Front Raises - Dumbell,"May 11, 2023",7.5,2023-05-11
May,F17,Front Raises - Dumbell,"May 11, 2023",Stare yourself in the mirror for this one - psychs me up,2023-05-11
May,F18,Hip Huggers - Dumbell,"May 11, 2023",That,2023-05-11
May,F18,Hip Huggers - Dumbell,"May 11, 2023",10,2023-05-11
May,F18,Hip Huggers - Dumbell,"May 11, 2023",Not long until lew lew hugs! Smash themmmm!,2023-05-11
May,F20,Pectoral Flys - Cable,"May 11, 2023",21,2023-05-11
May,F20,Pectoral Flys - Cable,"May 11, 2023",HIT THE TIDDIES!!,2023-05-11
May,F19,Bench Press - Narrow Grip - Barbell,"May 11, 2023",Ww 25,2023-05-11
May,F19,Bench Press - Narrow Grip - Barbell,"May 11, 2023",Elbows tucked tickle those nipples with the bar!,2023-05-11
May,F21,Plank - Body,"May 11, 2023",1min 21,2023-05-11
May,F21,Plank - Body,"May 11, 2023",Appreciate not being walked on by fern or juni,2023-05-11
May,C23,Squat - Front - Barbell,"May 15, 2023",Ww 40,2023-05-15
May,C24,Squat - Back - Barbell,"May 15, 2023",Pw 55,2023-05-15
May,C25,Bulgarian Split Squat - Barbell,"May 15, 2023",Ww 40,2023-05-15
May,C26,Romanian Deadlifts - Barbell,"May 15, 2023",Ww 30,2023-05-15
May,C27,Bench Press - Flat - Barbell,"May 15, 2023",Ww 30 (tough),2023-05-15
May,C28,Shoulder Press - Dumbell,"May 15, 2023",10,2023-05-15
May,C29,Crunches - Weighted - Cable,"May 15, 2023",15,2023-05-15
May,F30,Leg Press - Machine,"May 18, 2023",110,2023-05-18
May,F29,Pectoral Flys - Cable,"May 18, 2023",Pw 33,2023-05-18
May,F24,Bench Press - Flat - Barbell,"May 18, 2023",Ww 30,2023-05-18
May,F25,Shoulder Press - Dumbell,"May 18, 2023",Ww 10,2023-05-18
May,F26,Hip Huggers - Dumbell,"May 18, 2023",Pw 12.5 x2,2023-05-18
May,F27,Good Mornings - Barbell,"May 18, 2023",Ww 40 (hard),2023-05-18
May,F23,Squat - Back - Barbell,"May 18, 2023",Ww 60,2023-05-18
May,H32,Squat - Front - Barbell,"May 27, 2023",35 (we 40 - deload),2023-05-27
May,H33,Squat - Back - Barbell,"May 27, 2023",55,2023-05-27
May,H34,Good Mornings - Barbell,"May 27, 2023",Bar,2023-05-27
May,H36,Bent-Over Rows - T-Bar,"May 27, 2023",25,2023-05-27
May,D42,Shoulder Press - Dumbell,"May 30, 2023",Ww 8,2023-05-30
May,D43,Bent-Over Rows - Barbell,"May 30, 2023",Ww 32.5,2023-05-30
May,D45,Hip Thrusts - Barbell,"May 30, 2023",110,2023-05-30
May,D44,Romanian Deadlifts - Barbell,"May 30, 2023",40,2023-05-30
May,D46,Lateral Pull Down - Machine,"May 30, 2023",35,2023-05-30
May,D47,ISO Lateral Row - Machine,"May 30, 2023",20,2023-05-30
May,D48,Hip Huggers - Dumbell,"May 30, 2023",12.5 both arms,2023-05-30
Sep,H41,Squat - Front - Barbell,6:33PM Oct 3,30,2023-10-03
Sep,H42,Squat - Back - Barbell,7:03PM Oct 3,30,2023-10-03
Sep,H43,Bench Press - Flat - Barbell,7:03PM Oct 3,30,2023-10-03
Sep,H45,Tricep Extension Pulldown - Cable,11:34PM Oct 3,Peak weight 13.75,2023-10-03
